registry_id	alias	use_type
product:eq-5d-5l-england	Devlin et al.'s English EQ-5D-5L value set	Product
product:eq-5d-5l-england	England/UK — 5L	Product
product:eq-5d-5l-england	England/UK EQ-5D-5L value set	Product
product:eq-5d-5l-england	English EQ-5D-5L value set	Product
product:eq-5d-5l-england	EQ-5D-5L value set for England	Product
product:eq-5d-5l-england	EQ-5D-5L value set for England (Devlin et al.)	Product
product:eq-5d-5l-england	Devlin et al.'s English EQ-5D-5L value set	Scoring
product:eq-5d-5l-england	England/UK — 5L	Scoring
product:eq-5d-5l-england	England/UK EQ-5D-5L value set	Scoring
product:eq-5d-5l-england	English EQ-5D-5L value set	Scoring
product:eq-5d-5l-england	English EQ-5D-5L value set (Devlin et al)	Scoring
product:eq-5d-5l-england	EQ-5D-5L value set for England	Scoring
product:eq-5d-5l-england	EQ-5D-5L value set for England (Devlin et al)	Scoring
product:eq-5d-5l-england	EQ-5D-5L value set for England (Devlin et al.)	Scoring
product:eq-5d-5l-es	EQ-5D-5L value set (Spanish, pit state value -0.416)	Product
product:eq-5d-5l-es	EQ-5D-5L value set for Spain	Product
product:eq-5d-5l-es	Spain — 5L	Product
product:eq-5d-5l-es	Spain EQ-5D-5L value set	Product
product:eq-5d-5l-es	EQ-5D-5L value set for Spain	Scoring
product:eq-5d-5l-es	Spain — 5L	Scoring
product:eq-5d-5l-es	Spain EQ-5D-5L value set	Scoring
product:eq-5d-5l-et-2020	Ethiopian value sets	Product
product:eq-5d-5l-et-2020	Disutility weights of Ethiopian general population (EQ-5D-5L value set for Ethiopians)	Scoring
product:eq-5d-5l-et-2020	Ethiopian value sets	Scoring
product:eq-5d-5l-et-2020	Ethiopian value sets (EQ-5D-5L value set for Ethiopians)	Scoring
product:eq-5d-5l-fr-2020	French EQ-5D-5L value set	Product
product:eq-5d-5l-fr-crosswalk	EQ-5D-5L crosswalk interim scoring value set for France (van Hout et al. 2012)	Product
product:eq-5d-5l-gb-crosswalk-2012	EQ-5D index (crosswalk)	Scoring
product:eq-5d-5l-gb-crosswalk-2012	EQ-5D-3L UK value set (applied via EQ-5D-5L to 3L crosswalk mapping, as recommended by NICE)	Scoring
product:eq-5d-5l-gb-crosswalk-2012	UK crosswalk EQ-5D-5L value set	Scoring
product:eq-5d-5l-gb-crosswalk-2012	UK values derived using crosswalk from the EQ-5D-3L (van Hout et al)	Scoring
product:eq-5d-5l-gb-hernandez-crosswalk-2023	UK (Hernández et al) crosswalk value set (−0.594 to 0.99)	Scoring
product:eq-5d-5l-hk	Hong Kong-specific value set (EQ-5D-5L)	Product
product:eq-5d-5l-hk	EQ-5D-5L HK value set (Wong et al, −0.863 to 1)	Scoring
product:eq-5d-5l-hk	Hong Kong-specific value set (EQ-5D-5L)	Scoring
product:eq-5d-5l-hu-2020	Hungarian EQ-5D-5L value set	Product
product:eq-5d-5l-hu-2020	Hungarian EQ-5D-5L value set developed using composite time trade-off method	Product
product:eq-5d-5l-hu-2020	Hungarian EQ-5D-5L value set	Scoring
product:eq-5d-5l-hu-2020	Hungarian EQ-5D-5L value set developed using composite time trade-off method	Scoring
product:eq-5d-5l-id-2017	Indonesian EQ-5D-5L value set	Product
product:eq-5d-5l-id-2017	new Indonesian value set	Product
product:eq-5d-5l-id-2017	The Indonesian EQ-5D-5L value set	Product
product:eq-5d-5l-id-2017	The Indonesian EQ-5D-5L value set (Purba et al.)	Product
product:eq-5d-5l-id-2017	Indonesian EQ-5D-5L value set	Scoring
product:eq-5d-5l-id-2017	Indonesian EQ-5D-5L value set (preference of the Indonesian general population)	Scoring
product:eq-5d-5l-id-2017	Indonesian EQ-5D-5L value set (Purba et al., 2017)	Scoring
product:eq-5d-5l-id-2017	Indonesian value set (Purba et al., The Indonesian EQ-5D-5L value set)	Scoring
product:eq-5d-5l-id-2017	new Indonesian value set	Scoring
product:eq-5d-5l-id-2017	the new Indonesian value set	Scoring
product:eq-5d-5l-ie-2018	Irish EQ-5D-5L value set	Product
product:eq-5d-5l-ie-2018	Irish EQ-5D-5L index value set (Hobbins et al)	Scoring
product:eq-5d-5l-in	Indian EQ-5D-5L value set (value sets recently developed for India)	Product
product:eq-5d-5l-in	Indian EQ-5D-5L value set (value sets recently developed for India)	Scoring
product:eq-5d-5l-it-2022	Italian EQ-5D-5L value set (Finch et al)	Scoring
product:eq-5d-5l-it-2022	Newly developed Italian EQ-5D-5L value set (cTTO and DCE based; range −0.571 to 1)	Scoring
product:eq-5d-5l-jp	EQ-5D-5L value set for Japan	Product
product:eq-5d-5l-jp	Japan — 5L	Product
product:eq-5d-5l-jp	Japan EQ-5D-5L value set	Product
product:eq-5d-5l-jp	EQ-5D-5L value set for Japan	Scoring
product:eq-5d-5l-jp	Japan — 5L	Scoring
product:eq-5d-5l-jp	Japan EQ-5D-5L value set	Scoring
product:eq-5d-5l-kr	EQ-5D-5L value set for South Korea	Product
product:eq-5d-5l-kr	Korean EQ-5D-5L value set	Product
product:eq-5d-5l-kr	South Korea — 5L	Product
product:eq-5d-5l-kr	South Korea EQ-5D-5L value set	Product
product:eq-5d-5l-kr	EQ-5D-5L value set for South Korea	Scoring
product:eq-5d-5l-kr	South Korea — 5L	Scoring
product:eq-5d-5l-kr	South Korea EQ-5D-5L value set	Scoring
product:eq-5d-5l-my-2019	Malaysian EQ-5D-5L value set	Product
product:eq-5d-5l-nl-2016	Dutch EQ-5D-5L value set	Product
product:eq-5d-5l-nl-2016	Dutch EQ-5D-5L value set (Versteegh et al.)	Product
product:eq-5d-5l-nl-2016	Dutch tariff	Product
product:eq-5d-5l-nl-2016	Dutch tariff (Versteegh et al., 2016)	Product
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D	Product
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D (Dutch EQ-5D-5L tariff)	Product
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D (Versteegh et al.)	Product
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D [27]	Product
product:eq-5d-5l-nl-2016	Dutch value set (Dutch tariff for the five-level version of EQ-5D)	Product
product:eq-5d-5l-nl-2016	Dutch value set for the EQ-5D-5L	Product
product:eq-5d-5l-nl-2016	Dutch value set of the EQ-5D-5L	Product
product:eq-5d-5l-nl-2016	EQ-5D-5L value set for The Netherlands	Product
product:eq-5d-5l-nl-2016	original Dutch EQ-5D-5L value set (Dutch tariff for the five-level version of EQ-5D, Versteegh et al. 2016)	Product
product:eq-5d-5l-nl-2016	original Dutch EQ-5D-5L values	Product
product:eq-5d-5l-nl-2016	The Netherlands — 5L	Product
product:eq-5d-5l-nl-2016	The Netherlands EQ-5D-5L value set	Product
product:eq-5d-5l-nl-2016	Dutch EQ-5D-5L value set	Scoring
product:eq-5d-5l-nl-2016	Dutch tariff	Scoring
product:eq-5d-5l-nl-2016	Dutch tariff (Versteegh et al., 2016)	Scoring
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D	Scoring
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D (Versteegh et al.)	Scoring
product:eq-5d-5l-nl-2016	Dutch tariff for the five-level version of EQ-5D [27]	Scoring
product:eq-5d-5l-nl-2016	Dutch value set (Dutch tariff for the five-level version of EQ-5D)	Scoring
product:eq-5d-5l-nl-2016	Dutch value set for the EQ-5D-5L	Scoring
product:eq-5d-5l-nl-2016	Dutch value set of the EQ-5D-5L	Scoring
product:eq-5d-5l-nl-2016	EQ-5D-5L value set for The Netherlands	Scoring
product:eq-5d-5l-nl-2016	original Dutch EQ-5D-5L value set (Dutch tariff for the five-level version of EQ-5D, Versteegh et al. 2016)	Scoring
product:eq-5d-5l-nl-2016	original Dutch EQ-5D-5L values	Scoring
product:eq-5d-5l-nl-2016	The Netherlands — 5L	Scoring
product:eq-5d-5l-nl-2016	The Netherlands EQ-5D-5L value set	Scoring
product:eq-5d-5l-nl-pits-2022	Dutch EQ-5D-5L value set on a pits scale	Product
product:eq-5d-5l-nl-pits-2022	Dutch EQ-5D-5L value set on a pits scale	Scoring
product:eq-5d-5l-pe-2023	Peruvian EQ-5D-5L value set	Product
product:eq-5d-5l-pl	Poland — 5L	Product
product:eq-5d-5l-pl	Poland — 5L	Scoring
product:eq-5d-5l-pl	Poland EQ-5D-5L value set	Scoring
product:eq-5d-5l-pl-crosswalk-2014	Polish EQ-5D-5L mapping-based cross-walk value set	Product
product:eq-5d-5l-pt-2019	Portuguese EQ-5D-5L value set	Product
product:eq-5d-5l-ro	recently developed value set for Romania for the EQ-5D-5L (Olariu et al. 2023)	Product
product:eq-5d-5l-ro	recently developed value set for Romania for the EQ-5D-5L (Olariu et al. 2023)	Scoring
product:eq-5d-5l-se-experience-2020	Swedish experience-based EQ-5D-5L value set (Burström et al.)	Product
product:eq-5d-5l-sg-2025	Singapore EQ-5D-5L value set estimated using the ADD20-I model	Product
product:eq-5d-5l-sg-2025	Singapore EQ-5D-5L value set estimated using the ADD20-I model	Scoring
product:eq-5d-5l-si	EQ-5D-5L value set for Slovenia	Product
product:eq-5d-5l-si	EQ-5D-5L value set for Slovenia	Scoring
product:eq-5d-5l-si-crosswalk	Crosswalk EQ-5D-5L value set for Slovenia	Product
product:eq-5d-5l-th-2018	Thai EQ-5D-5L value set	Product
product:eq-5d-5l-tt-2024	2024 Trinidad and Tobago EQ-5D-5L value set	Product
product:eq-5d-5l-tt-2024	EQ-5D-5L cTTO value set for Trinidad and Tobago	Product
product:eq-5d-5l-tt-2024	EQ-5D-5L value set for Trinidad and Tobago (published 2024)	Product
product:eq-5d-5l-tt-2024	index values from the 2022–2023 Trinidad and Tobago valuation study	Product
product:eq-5d-5l-tt-2024	2024 Trinidad and Tobago EQ-5D-5L value set	Scoring
product:eq-5d-5l-tt-2024	EQ-5D-5L cTTO value set for Trinidad and Tobago	Scoring
product:eq-5d-5l-tt-2024	EQ-5D-5L value set for Trinidad and Tobago (published 2024)	Scoring
product:eq-5d-5l-tt-2024	index values from the 2022–2023 Trinidad and Tobago valuation study	Scoring
product:eq-5d-5l-tt-crosswalk-2016	Crosswalk algorithm applied to the Trinidad and Tobago EQ-5D-3L value set (crosswalk values used for the 2012 norms)	Scoring
product:eq-5d-5l-tw-2018	Taiwanese EQ-5D-5L value set	Product
product:eq-5d-5l-us	United States EQ-5D-5L value set (EQ-VT)	Product
product:eq-5d-5l-us	US — 5L	Product
product:eq-5d-5l-us	US EQ-5D-5L value set	Product
product:eq-5d-5l-us	US EQ-5D-5L value set (Pickard et al. 2019)	Product
product:eq-5d-5l-us	2019 US EQ-5D-5L value set (Pickard et al., composite time trade-off; n = 1134; range −0.573, 1)	Scoring
product:eq-5d-5l-us	United States value set (EQ-5D-5L, Pickard et al. 2019)	Scoring
product:eq-5d-5l-us	US — 5L	Scoring
product:eq-5d-5l-us	US EQ-5D-5L value set	Scoring
product:eq-5d-5l-us	US EQ-5D-5L value set (Pickard et al. 2019)	Scoring
product:eq-5d-5l-us	US value set, based on Pickard et al. (72)	Scoring
product:eq-5d-5l-us	US value set, based on Pickard et al. (Pickard et al., 2019)	Scoring
product:eq-5d-5l-us	US-based value set for the adult population (United States valuation of EQ-5D-5L health states using an international protocol)	Scoring
product:eq-5d-5l-us-craig-rand-2018	2016 US EQ-5D-5L value set (Craig & Rand)	Product
product:eq-5d-5l-us-crosswalk-2012	EQ-5D-5L to 3L crosswalk value set (van Hout et al.)	Scoring
product:eq-5d-5l-us-parallel-2018	US EQ-5D-5L value set derived via EQ-VT from a common same sample (parallel valuation)	Scoring
product:eq-5d-5l-uy-2016	Uruguayan EQ-5D-5L value set	Product
product:eq-5d-5l-van-hout-crosswalk-2012	algorithm derived from the crosswalk 3L value sets	Product
product:eq-5d-5l-van-hout-crosswalk-2012	Crosswalk (interim EQ-5D-5L scoring mapping 3L preference weights onto 5L responses, developed by the EuroQol Group)	Product
product:eq-5d-5l-van-hout-crosswalk-2012	crosswalk 3L value sets (algorithm mapping EQ-5D-5L to EQ-5D-3L value sets)	Product
product:eq-5d-5l-van-hout-crosswalk-2012	EQ-5D-5L crosswalk value set (van Hout et al. 2012)	Product
product:eq-5d-5l-van-hout-crosswalk-2012	EQ-5D-5L to 3L crosswalk value set (van Hout et al.)	Product
product:eq-5d-5l-van-hout-crosswalk-2012	Interim scoring method (crosswalk) mapping the EQ-5D-5L to EQ-5D-3L value sets	Product
product:eq-5d-5l-van-hout-crosswalk-2012	US Measurement and Valuation of Health	Product
product:eq-5d-5l-van-hout-crosswalk-2012	van Hout et al. (2011) EQ-5D-5L to EQ-5D-3L crosswalk	Product
product:eq-5d-5l-van-hout-crosswalk-2012	Van Hout et al. crosswalk algorithm	Product
product:eq-5d-5l-van-hout-crosswalk-2012	algorithm derived from the crosswalk 3L value sets	Scoring
product:eq-5d-5l-van-hout-crosswalk-2012	US Measurement and Valuation of Health	Scoring
product:eq-5d-y-3l-au	An Australian value set for the EQ-5D-Y-3L	Product
product:eq-5d-y-3l-au	An Australian value set for the EQ-5D-Y-3L	Scoring
product:eq-5d-y-3l-be	An EQ-5D-Y-3L Value Set for Belgium	Product
product:eq-5d-y-3l-be	An EQ-5D-Y-3L Value Set for Belgium	Scoring
product:eq-5d-y-3l-br	EQ-5D-Y-3L value set for Brazil	Product
product:eq-5d-y-3l-br	EQ-5D-Y-3L value set for Brazil	Scoring
product:eq-5d-y-3l-cn	Chinese value set for the EQ-5D-Y-3L (−0.088 to 1)	Product
product:eq-5d-y-3l-cn	EQ-5D-Y-3L value set for China	Product
product:eq-5d-y-3l-cn	Chinese value set for the EQ-5D-Y-3L (−0.088 to 1)	Scoring
product:eq-5d-y-3l-cn	Chinese Y-3L value set	Scoring
product:eq-5d-y-3l-cn	Chinese Y-3L value set (Yang et al., Estimating an EQ-5D-Y-3L Value Set for China)	Scoring
product:eq-5d-y-3l-cn	EQ-5D-Y-3L value set for China	Scoring
product:eq-5d-y-3l-de	EQ-5D-Y value set for Germany	Product
product:eq-5d-y-3l-de	EQ-5D-Y value set for Germany	Scoring
product:eq-5d-y-3l-es	Spanish EQ-5D-Y value set	Product
product:eq-5d-y-3l-es	EQ-5D-Y-3L utility scoring algorithm (Ramos-Goñi et al. 2022) [25]	Scoring
product:eq-5d-y-3l-hu	Value Set for the EQ-5D-Y-3L in Hungary	Product
product:eq-5d-y-3l-hu	Value Set for the EQ-5D-Y-3L in Hungary	Scoring
product:eq-5d-y-3l-id	EQ-5D-Y-3L value set for Indonesia	Product
product:eq-5d-y-3l-jp	EQ-5D-Y value set in Japan	Product
product:eq-5d-y-3l-jp	Japanese EQ-5D-Y value set	Product
product:eq-5d-y-3l-jp	EQ-5D-Y value set in Japan	Scoring
product:eq-5d-y-3l-jp	Japanese EQ-5D-Y value set	Scoring
product:eq-5d-y-3l-mott-latent-2019	EQ-5D-Y summary latent value (latent scoring system based on a discrete choice experiment)	Scoring
product:eq-5d-y-3l-nl	A value set for the EQ-5D-Y-3L in the Netherlands	Product
product:eq-5d-y-3l-nl	A value set for the EQ-5D-Y-3L in the Netherlands	Scoring
product:eq-5d-y-3l-si	EQ-5D-Y value set for Slovenia	Product
product:eq-5d-y-3l-si	Slovenian EQ-5D-Y value set	Product
product:eq-5d-y-3l-si	Slovenian EQ-5D-Y value set (range −0.691 to 1.000)	Product
product:eq-5d-y-3l-si	EQ-5D-Y value set for Slovenia	Scoring
product:eq-5d-y-3l-si	Slovenian EQ-5D-Y value set	Scoring
product:eq-5d-y-3l-si	Slovenian EQ-5D-Y value set (range −0.691 to 1.000)	Scoring
product:eq-5d-y-3l-us-qaly-2016	original U.S. EQ-5D-Y-3L values on a QALY scale (Craig et al, 2016)	Product
product:eq-5d-y-3l-us-qaly-2016	United States value set (EQ-5D-Y, Craig 2016)	Product
product:eq-5d-y-3l-us-qaly-2016	US Measurement and Valuation of Health (valuation of child health-related quality of life in the United States)	Scoring
product:eq-hwb-s-gb-pilot-2023	EQ-VT pilot value set for the EQ-HWB-S for the UK (Mukuria et al., 2023)	Product
product:eq-hwb-s-gb-pilot-2023	UK pilot value set	Product
product:eq-hwb-s-gb-pilot-2023	EQ-HWB-9 UK pilot value set (experimental, 2022 version)	Scoring
product:eq-hwb-s-gb-pilot-2023	EQ-HWB-S pilot UK value set (Mukuria et al., 2023)	Scoring
product:eq-hwb-s-gb-pilot-2023	EQ-HWB-S UK pilot value set	Scoring
product:eq-hwb-s-gb-pilot-2023	EQ-HWB-S UK pilot value set (Mukuria et al)	Scoring
product:eq-hwb-s-gb-pilot-2023	EQ-HWB-S value set from the UK feasibility study (time trade-off and discrete choice experiment, hybrid Tobit heteroscedastic model)	Scoring
product:eq-hwb-s-gb-pilot-2023	pilot EQ-HWB-9 value-set from the UK (UK Pilot value-set, Mukuria et al.)	Scoring
product:eq-hwb-s-gb-pilot-2023	pilot UK value set for the EQ-HWB-S	Scoring
product:eq-hwb-s-gb-pilot-2023	UK pilot value set	Scoring
product:eq-hwb-s-gb-pilot-2023	UK pilot value set for EQ-HWB-9	Scoring
product:eq-hwb-s-gb-pilot-2023	UK pilot value set for the EQ-HWB-9	Scoring
product:eq-hwb-s-gb-pilot-2023	UK pilot value set for the EQ-HWB-S (Mukuria et al)	Scoring
product:eq-hwb-s-gb-pilot-2023	UK value set for the EQ-HWB-S (−0.384 to 1)	Scoring
product:fact-8d-au-2021	FACT-8D Australian value set	Scoring
product:gbd-2013-disability-weights	Global Burden of Disease Study (2013) disability weights (Salomon et al.)	Product
product:gbd-original-disability-weights-1994	original Global Burden of Disease Study disability weights (Murray 1994)	Product
product:icecap-a-gb-2015	UK value set for the ICECAP-A (Flynn et al)	Scoring
product:level-sum-score	EQ-5D-5L Level Sum Score (LSS)	Product
product:level-sum-score	Level sum score (LSS)	Product
product:level-sum-score	level sum score (LSS)	Product
product:level-sum-score	Level Sum Score (LSS) calculated by summing the scores across all five EQ-5D-5L dimensions	Product
product:level-sum-score	level sum scores (LSS)	Product
product:level-sum-score	EQ-5D-5L Level Sum Score (LSS)	Scoring
product:level-sum-score	Level sum score (LSS)	Scoring
product:level-sum-score	level sum score (LSS)	Scoring
product:level-sum-score	Level Sum Score (LSS) calculated by summing the scores across all five EQ-5D-5L dimensions	Scoring
product:level-sum-score	level sum scores (LSS)	Scoring
product:msis-8d-gb	published algorithm based on the preferences of a representative sample of the general UK population	Product
product:msis-8d-gb	published algorithm based on the preferences of a representative sample of the general UK population	Scoring
product:msis-8d-gb	Published MSIS-8D algorithm based on UK general population preferences (value range 0.079 to 0.882)	Scoring
product:pedsql-scoring-manual-2023	PedsQL scoring manual (Varni, Scaling and Scoring for the Acute and Standard Versions of the PedsQL, Mapi Research Trust)	Scoring
product:propr-us	PROPr US value set	Scoring
product:reqol-ui-hk-2025	ReQoL-UI HK value set (−0.814 to 1)	Scoring
product:sf-6d-sf12-gb-2004	SF-6D (SF-12 based) preference weights algorithm (Brazier and Roberts)	Scoring
product:sf-6dv2-cn-2021	Chinese utility value of the SF-6Dv2 (range: −0.535 to 1)	Scoring
product:swemwbs-gb-2023	SWEMWBS UK value set	Scoring
product:whoqol-old-de-scoring-2016	Recommended WHOQOL-OLD scoring procedure by Conrad et al.	Scoring
protocol:arksey-omalley-scoping-review	Arksey and O’Malley’s framework for scoping reviews	Protocol
protocol:bios-study	Brabant Injury Outcome Surveillance (BIOS) study protocol, approved by the Medical Ethics Committee Brabant (NL50258.028.14)	Protocol
protocol:boateng-scale-development-2018	Best Practices for Developing and Validating Scales for Health, Social, and Behavioral Research (51)	Protocol
protocol:boateng-scale-development-2018	Best practices for developing and validating scales for health, social, and behavioral research (Boateng et al., 2018)	Protocol
protocol:brazier-deverill-preference-measure-checklist	Checklist for judging preference-based measures of health used in economic evaluations (Brazier and Deverill)	Protocol
protocol:buchholz-eq-5d-3l-5l-comparison	established framework for 3-level vs 5-level comparisons (Buchholz et al. systematic review framework)	Protocol
protocol:c50-p032-two-wave-eq-tips-5l-choice-task	two-wave protocol for assessing the EQ-TIPS-5L descriptive system using alternative choice tasks	Protocol
protocol:cheers	Consolidated Health Economic Evaluation Reporting Standards (CHEERS)	Protocol
protocol:china-covid-19-diagnosis-treatment-trial-10	Chinese COVID-19 guidelines (Diagnosis and treatment protocol for COVID-19 infection, Trial Version 10)	Protocol
protocol:china-covid-19-diagnosis-treatment-trial-10	Diagnosis and Treatment Protocol for COVID-19 Infection (Trial Version 10), Chinese COVID-19 severity criteria	Protocol
protocol:cicchetti-reliability-guidance-1994	Cicchetti 1994 guidance for interpreting Kappa and ICC (<0.40 poor, 0.40–0.59 fair, 0.60–0.74 good, 0.75–1.00 excellent)	Protocol
protocol:cnf-p003-interview-topic-guide	protocol and topic guide outlined in Appendix 2	Protocol
protocol:cnf-p009-review-quality-checklist	checklist developed for this review	Protocol
protocol:coreq	COnsolidated criteria for REporting Qualitative research (CORE-Q)	Protocol
protocol:coreq	COnsolidated criteria for REporting Qualitative research (COREQ)	Protocol
protocol:coreq	Consolidated Criteria for Reporting Qualitative Research (COREQ)	Protocol
protocol:coreq	Consolidated Criteria for Reporting Qualitative Research (COREQ) checklist	Protocol
protocol:coreq	COREQ (COnsolidated criteria for REporting qualitative research) checklist	Protocol
protocol:coreq	COREQ (Consolidated Criteria for Reporting Qualitative Research) checklist	Protocol
protocol:coreq	COREQ (consolidated criteria for reporting qualitative research), 32-item checklist	Protocol
protocol:coreq	COREQ checklist	Protocol
protocol:cosmin-content-validity-methodology	COSMIN guidelines for content validity [8, 9]	Protocol
protocol:cosmin-content-validity-methodology	COSMIN methodology for assessing the content validity of PROMs – user manual	Protocol
protocol:cosmin-content-validity-methodology	COSMIN methodology for evaluating the content validity of patient-reported outcome measures	Protocol
protocol:cosmin-grade	COSMIN Grading of Recommendation Assessment, Development, and Evaluation (GRADE)	Protocol
protocol:cosmin-guidelines	COnsensus-based Standards for the selection of health Measurement Instruments (COSMIN) guideline for systematic reviews of outcome measurement instruments	Protocol
protocol:cosmin-guidelines	COnsensus-based Standards for the selection of health Measurement INstruments (COSMIN) guidelines	Protocol
protocol:cosmin-guidelines	Consensus-based Standards for the selection of health Measurement INstruments (COSMIN) guidelines	Protocol
protocol:cosmin-guidelines	COSMIN (Consensus-based Standards for the selection of health Measurement Instruments) guidelines	Protocol
protocol:cosmin-guidelines	COSMIN reporting guideline for studies on measurement properties of patient-reported outcome measures	Protocol
protocol:cosmin-measurement-property-taxonomy	COnsensus-based Standards for the selection of health Measurement INstruments (COSMIN) taxonomy and criteria	Protocol
protocol:cosmin-reporting-guideline-revised	revised COSMIN reporting guideline for studies on measurement properties of patient-reported outcome measures	Protocol
protocol:cosmin-reporting-guideline-revised	revised COSMIN reporting guideline for studies on measurement properties of patient-reported outcome measures (version 2.0)	Protocol
protocol:cosmin-risk-of-bias-checklist	COSMIN Risk of Bias checklist	Protocol
protocol:cosmin-risk-of-bias-checklist	COSMIN risk of bias checklist for systematic reviews of patient-reported outcome measures	Protocol
protocol:cosmin-study-design-checklist-2019	2019 COSMIN Study Design Checklist for Patient-Reported Outcome Measurement Instruments	Protocol
protocol:cosmin-study-design-checklist-2019	2019 COSMIN Study Design checklist for Patient-reported outcome measurement instruments	Protocol
protocol:cosmin-study-design-checklist-2019	COSMIN (COnsensus-based Standards for the selection of health Measurement INstruments) study design checklist	Protocol
protocol:cosmin-study-design-checklist-2019	COSMIN Study Design checklist	Protocol
protocol:cosmin-study-design-checklist-2019	COSMIN study design checklist	Protocol
protocol:cosmin-study-design-checklist-2019	COSMIN study design checklist for patient-reported outcome measurement instruments	Protocol
protocol:cosmin-systematic-review-user-manual	COSMIN methodology for systematic reviews of patient-reported outcome measures (PROMs) User Manual	Protocol
protocol:cost-of-vision-loss-consensus-2010	Cost of Vision Loss Consensus Guidelines (2010) (Frick et al.)	Protocol
protocol:create-checklist	Checklist for REporting VAluaTion StudiEs (CREATE)	Protocol
protocol:create-checklist	Checklist for REporting VAluaTion studiEs (CREATE)	Protocol
protocol:create-checklist	Checklist for Reporting Valuation Studies of Multi-Attribute Utility-Based Instruments (CREATE) checklist	Protocol
protocol:create-checklist	checklist for reporting valuation studies of multiattribute utility-based instruments (CREATE)	Protocol
protocol:create-checklist	Checklist for Reporting Valuation Studies of the EQ-5D	Protocol
protocol:create-checklist	Checklist for Reporting Valuation Studies of the EQ-5D (CREATE)	Protocol
protocol:create-checklist	CREATE checklist for multi-attribute utility instruments	Protocol
protocol:create-checklist	CREATE checklist for reporting valuation studies	Protocol
protocol:create-checklist	CREATE checklist for reporting Valuation Studies of Multi-Attribute Utility-Based Instruments	Protocol
protocol:create-checklist	CREATE checklist for reporting valuation studies of multi-attribute utility-based instruments	Protocol
protocol:create-checklist	CREATE guidelines for reporting valuation studies of multi-attribute utility-based instruments	Protocol
protocol:create-checklist	CREATE guidelines for valuation studies of multi-attribute utility-based instruments	Protocol
protocol:e-qaly	E-QALY protocol	Protocol
protocol:eq-5d-5l-valuation-lite	"""Lite"" protocol"	Protocol
protocol:eq-5d-5l-valuation-lite	'lite' version of the EuroQol Research Foundation's EQ-5D-5L valuation protocol	Protocol
protocol:eq-5d-5l-valuation-lite	EQ-VT 'Lite' protocol	Protocol
protocol:eq-5d-5l-valuation-lite	‘lite’ version of the EuroQol’s EQ-5D-5L valuation protocol	Protocol
protocol:eq-5d-5l-valuation-qc-2017	cyclic quality control (QC) process/protocol	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EQ-VT protocol Quality Control (QC) procedure	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EQ-VT quality control protocol	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol Group quality control procedures for EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol QC protocol	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol quality control (QC) tool for EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol quality control procedure (quality control process for EQ-5D-5L valuation studies, Ramos-Goñi et al.)	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol quality control process for EQ-5D valuation studies (protocol compliance and interviewer effects)	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol quality control process for EQ-5D-5L valuation studies (Ramos-Goni et al)	Protocol
protocol:eq-5d-5l-valuation-qc-2017	EuroQol standardized quality control process	Protocol
protocol:eq-5d-5l-valuation-qc-2017	QC process established by the EuroQol Group for EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	QC process for the EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control (QC) procedure for EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	quality control (QC) process described by Ramos-Goñi et al.	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control (QC) process of EQ-VT valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control (QC) report tool with seven protocol compliance indicators	Protocol
protocol:eq-5d-5l-valuation-qc-2017	quality control (QC) tool	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality Control Process for EQ-5D-5L Valuation Studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control process for EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	quality control process for EQ-5D-5L valuation studies	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control process for EQ-5D-5L valuation studies (EQ-VT support team QC process)	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control process for EQ-5D-5L valuation studies (EuroQol QC tool)	Protocol
protocol:eq-5d-5l-valuation-qc-2017	Quality control process for EQ-5D-5L valuation studies (QC meetings with the EQ-VT support team)	Protocol
